name	SUPER_PATHWAY	SUB_PATHWAY	label
P::X - 17299	P::Unknown	P::Unknown	P::X - 17299
P::X - 17336	P::Unknown	P::Unknown	P::X - 17336
P::X - 17337	P::Unknown	P::Unknown	P::X - 17337
P::X - 17357	P::Unknown	P::Unknown	P::X - 17357
P::X - 17375	P::Unknown	P::Unknown	P::X - 17375
P::X - 17425	P::Unknown	P::Unknown	P::X - 17425
P::X - 17502	P::Unknown	P::Unknown	P::X - 17502
P::X - 17612	P::Unknown	P::Unknown	P::X - 17612
P::X - 17628	P::Unknown	P::Unknown	P::X - 17628
P::X - 17629	P::Unknown	P::Unknown	P::X - 17629
P::X - 17653	P::Unknown	P::Unknown	P::X - 17653
P::X - 17654	P::Unknown	P::Unknown	P::X - 17654
P::X - 17656	P::Unknown	P::Unknown	P::X - 17656
P::X - 17682	P::Unknown	P::Unknown	P::X - 17682
P::X - 17690	P::Unknown	P::Unknown	P::X - 17690
P::X - 17706	P::Unknown	P::Unknown	P::X - 17706
P::X - 18221	P::Unknown	P::Unknown	P::X - 18221
P::X - 18249	P::Unknown	P::Unknown	P::X - 18249
P::X - 18601	P::Unknown	P::Unknown	P::X - 18601
P::X - 18602	P::Unknown	P::Unknown	P::X - 18602
P::X - 18739	P::Unknown	P::Unknown	P::X - 18739
P::X - 18779	P::Unknown	P::Unknown	P::X - 18779
P::X - 18901	P::Unknown	P::Unknown	P::X - 18901
P::X - 18913	P::Unknown	P::Unknown	P::X - 18913
P::X - 18914	P::Unknown	P::Unknown	P::X - 18914
P::X - 18922	P::Unknown	P::Unknown	P::X - 18922
P::X - 18929	P::Unknown	P::Unknown	P::X - 18929
P::X - 19137	P::Unknown	P::Unknown	P::X - 19137
P::X - 19141	P::Unknown	P::Unknown	P::X - 19141
P::X - 19147	P::Unknown	P::Unknown	P::X - 19147
P::X - 19380	P::Unknown	P::Unknown	P::X - 19380
P::X - 19411	P::Unknown	P::Unknown	P::X - 19411
P::X - 19437	P::Unknown	P::Unknown	P::X - 19437
P::X - 19438	P::Unknown	P::Unknown	P::X - 19438
U::1,2-propanediol	U::Lipid	U::Ketone bodies	U::1,2-propanediol
U::1,3,7-trimethylurate	U::Xenobiotics	U::Xanthine metabolism	U::1,3,7-trimethylurate
U::1,3-dimethylurate	U::Xenobiotics	U::Xanthine metabolism	U::1,3-dimethylurate
U::1,5-anhydroglucitol (1,5-AG)	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::1,5-anhydroglucitol (1,5-AG)
U::1,6-anhydroglucose	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::1,6-anhydroglucose
U::1,7-dimethylurate	U::Xenobiotics	U::Xanthine metabolism	U::1,7-dimethylurate
U::1-(3-aminopropyl)-2-pyrrolidone	U::Xenobiotics	U::Chemical	U::1-(3-aminopropyl)-2-pyrrolidone
U::1-kestose	U::Xenobiotics	U::Sugar, sugar substitute, starch	U::1-kestose
U::1-methylhistidine	U::Amino acid	U::Histidine metabolism	U::1-methylhistidine
U::1-methylimidazoleacetate	U::Amino acid	U::Histidine metabolism	U::1-methylimidazoleacetate
U::1-methylnicotinamide	U::Cofactors and vitamins	U::Nicotinate and nicotinamide metabolism	U::1-methylnicotinamide
U::1-methylurate	U::Xenobiotics	U::Xanthine metabolism	U::1-methylurate
U::1-methylxanthine	U::Xenobiotics	U::Xanthine metabolism	U::1-methylxanthine
U::12-dehydrocholate	U::Lipid	U::Bile acid metabolism	U::12-dehydrocholate
U::2,3-butanediol	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::2,3-butanediol
U::2,3-dihydroxyisovalerate	U::Cofactors and vitamins	U::Pantothenate and CoA metabolism	U::2,3-dihydroxyisovalerate
U::2,4,6-trihydroxybenzoate	U::Xenobiotics	U::Benzoate metabolism	U::2,4,6-trihydroxybenzoate
U::2-aminoadipate	U::Amino acid	U::Lysine metabolism	U::2-aminoadipate
U::2-aminobutyrate	U::Amino acid	U::Butanoate metabolism	U::2-aminobutyrate
U::2-hydroxybutyrate (AHB)	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::2-hydroxybutyrate (AHB)
U::2-hydroxyglutarate	U::Lipid	U::Fatty acid, dicarboxylate	U::2-hydroxyglutarate
U::2-hydroxyhippurate (salicylurate)	U::Xenobiotics	U::Benzoate metabolism	U::2-hydroxyhippurate (salicylurate)
U::2-hydroxyisobutyrate	U::Xenobiotics	U::Chemical	U::2-hydroxyisobutyrate
U::2-hydroxyphenylacetate	U::Xenobiotics	U::Chemical	U::2-hydroxyphenylacetate
U::2-isopropylmalate	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::2-isopropylmalate
U::2-methylbutyrylcarnitine (C5)	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::2-methylbutyrylcarnitine (C5)
U::2-methylbutyrylglycine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::2-methylbutyrylglycine
U::2-methylcitrate	U::Energy	U::Krebs cycle	U::2-methylcitrate
U::2-methylhippurate	U::Xenobiotics	U::Benzoate metabolism	U::2-methylhippurate
U::2-octenedioate	U::Lipid	U::Fatty acid, dicarboxylate	U::2-octenedioate
U::2-oxindole-3-acetate	U::Xenobiotics	U::Food component/Plant	U::2-oxindole-3-acetate
U::2-oxo-1-pyrrolidinepropionate	U::Xenobiotics	U::Chemical	U::2-oxo-1-pyrrolidinepropionate
U::2-pyrrolidinone	U::Xenobiotics	U::Chemical	U::2-pyrrolidinone
U::21-hydroxypregnenolone disulfate	U::Lipid	U::Sterol/Steroid	U::21-hydroxypregnenolone disulfate
U::3,4-dihydroxyphenylacetate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::3,4-dihydroxyphenylacetate
U::3,5-dihydroxybenzoic acid	U::Xenobiotics	U::Food component/Plant	U::3,5-dihydroxybenzoic acid
U::3-(4-hydroxyphenyl)lactate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::3-(4-hydroxyphenyl)lactate
U::3-aminoisobutyrate	U::Nucleotide	U::Pyrimidine metabolism, thymine containing; Valine, leucine and isoleucine metabolism/	U::3-aminoisobutyrate
U::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	U::Lipid	U::Fatty acid, dicarboxylate	U::3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)
U::3-dehydrocarnitine*	U::Lipid	U::Carnitine metabolism	U::3-dehydrocarnitine*
U::3-ethylphenylsulfate*	U::Xenobiotics	U::Benzoate metabolism	U::3-ethylphenylsulfate*
U::3-hydroxy-2-ethylpropionate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::3-hydroxy-2-ethylpropionate
U::3-hydroxy-3-methylglutarate	U::Lipid	U::Mevalonate metabolism	U::3-hydroxy-3-methylglutarate
U::3-hydroxyanthranilate	U::Amino acid	U::Tryptophan metabolism	U::3-hydroxyanthranilate
U::3-hydroxybutyrate (BHBA)	U::Lipid	U::Ketone bodies	U::3-hydroxybutyrate (BHBA)
U::3-hydroxyglutarate	U::Amino acid	U::Lysine metabolism	U::3-hydroxyglutarate
U::3-hydroxyhippurate	U::Xenobiotics	U::Benzoate metabolism	U::3-hydroxyhippurate
U::3-hydroxyisobutyrate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::3-hydroxyisobutyrate
U::3-hydroxykynurenine	U::Amino acid	U::Tryptophan metabolism	U::3-hydroxykynurenine
U::3-hydroxyphenylacetate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::3-hydroxyphenylacetate
U::3-hydroxyproline	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::3-hydroxyproline
U::3-hydroxypropanoate	U::Lipid	U::Fatty acid, monohydroxy	U::3-hydroxypropanoate
U::3-hydroxypyridine	U::Xenobiotics	U::Chemical	U::3-hydroxypyridine
U::3-hydroxysebacate	U::Lipid	U::Fatty acid, monohydroxy	U::3-hydroxysebacate
U::3-indoxyl sulfate	U::Amino acid	U::Tryptophan metabolism	U::3-indoxyl sulfate
U::3-methoxytyrosine	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::3-methoxytyrosine
U::3-methyl catechol sulfate 1	U::Xenobiotics	U::Benzoate metabolism	U::3-methyl catechol sulfate 1
U::3-methyl catechol sulfate 2	U::Xenobiotics	U::Benzoate metabolism	U::3-methyl catechol sulfate 2
U::3-methylcrotonylglycine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::3-methylcrotonylglycine
U::3-methylcytidine	U::Nucleotide	U::Pyrimidine metabolism, cytidine containing	U::3-methylcytidine
U::3-methylglutaconate	U::Amino acid	U::Lysine metabolism	U::3-methylglutaconate
U::3-methylglutarate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::3-methylglutarate
U::3-methylglutarylcarnitine (C6)	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::3-methylglutarylcarnitine (C6)
U::3-methylhistidine	U::Amino acid	U::Histidine metabolism	U::3-methylhistidine
U::3-methylxanthine	U::Xenobiotics	U::Xanthine metabolism	U::3-methylxanthine
U::3-phosphoglycerate	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::3-phosphoglycerate
U::3-sialyllactose	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::3-sialyllactose
U::3-ureidopropionate	U::Amino acid	U::Alanine and aspartate metabolism	U::3-ureidopropionate
U::4-acetamidobutanoate	U::Amino acid	U::Guanidino and acetamido metabolism	U::4-acetamidobutanoate
U::4-acetaminophen sulfate	U::Xenobiotics	U::Drug	U::4-acetaminophen sulfate
U::4-acetylphenol sulfate	U::Xenobiotics	U::Drug	U::4-acetylphenol sulfate
U::4-androsten-3beta,17beta-diol disulfate 1*	U::Lipid	U::Sterol/Steroid	U::4-androsten-3beta,17beta-diol disulfate 1*
U::4-androsten-3beta,17beta-diol disulfate 2*	U::Lipid	U::Sterol/Steroid	U::4-androsten-3beta,17beta-diol disulfate 2*
U::4-ethylphenylsulfate	U::Xenobiotics	U::Benzoate metabolism	U::4-ethylphenylsulfate
U::4-guanidinobutanoate	U::Amino acid	U::Guanidino and acetamido metabolism	U::4-guanidinobutanoate
U::4-hydroxybenzoate	U::Xenobiotics	U::Benzoate metabolism	U::4-hydroxybenzoate
U::4-hydroxyhippurate	U::Xenobiotics	U::Benzoate metabolism	U::4-hydroxyhippurate
U::4-hydroxyisoleucine	U::Xenobiotics	U::Food component/Plant	U::4-hydroxyisoleucine
U::4-hydroxymandelate	U::Xenobiotics	U::Benzoate metabolism	U::4-hydroxymandelate
U::4-hydroxyphenylacetate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::4-hydroxyphenylacetate
U::4-hydroxyphenylpyruvate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::4-hydroxyphenylpyruvate
U::4-imidazoleacetate	U::Amino acid	U::Histidine metabolism	U::4-imidazoleacetate
U::4-methylcatechol sulfate	U::Xenobiotics	U::Benzoate metabolism	U::4-methylcatechol sulfate
U::4-ureidobutyrate	U::Nucleotide	U::Pyrimidine metabolism, uracil containing	U::4-ureidobutyrate
U::4-vinylphenol sulfate	U::Xenobiotics	U::Benzoate metabolism	U::4-vinylphenol sulfate
U::5,6-dihydrouracil	U::Nucleotide	U::Pyrimidine metabolism, uracil containing	U::5,6-dihydrouracil
U::5-acetylamino-6-amino-3-methyluracil	U::Xenobiotics	U::Xanthine metabolism	U::5-acetylamino-6-amino-3-methyluracil
U::5-acetylamino-6-formylamino-3-methyluracil	U::Xenobiotics	U::Xanthine metabolism	U::5-acetylamino-6-formylamino-3-methyluracil
U::5-aminovalerate	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::5-aminovalerate
U::5-hydroxyhexanoate	U::Lipid	U::Fatty acid, monohydroxy	U::5-hydroxyhexanoate
U::5-hydroxyindoleacetate	U::Amino acid	U::Tryptophan metabolism	U::5-hydroxyindoleacetate
U::5-hydroxymethyl-2-furoic acid	U::Amino acid	U::Phenylalanine &amp; tyrosine metabolism	U::5-hydroxymethyl-2-furoic acid
U::5-methylcytidine	U::Nucleotide	U::Pyrimidine metabolism, cytidine containing	U::5-methylcytidine
U::5-methylthioadenosine (MTA)	U::Amino acid	U::Polyamine metabolism	U::5-methylthioadenosine (MTA)
U::5-oxoproline	U::Amino acid	U::Glutathione metabolism	U::5-oxoproline
U::5alpha-androstan-3beta,17beta-diol disulfate	U::Lipid	U::Sterol/Steroid	U::5alpha-androstan-3beta,17beta-diol disulfate
U::6-sialyl-N-acetyllactosamine	U::Carbohydrate	U::Aminosugars metabolism	U::6-sialyl-N-acetyllactosamine
U::7,8-dihydroneopterin	U::Nucleotide	U::Purine metabolism, guanine containing	U::7,8-dihydroneopterin
U::7-methylguanine	U::Nucleotide	U::Purine metabolism, guanine containing	U::7-methylguanine
U::7-methylxanthine	U::Xenobiotics	U::Xanthine metabolism	U::7-methylxanthine
U::acetoacetate	U::Lipid	U::Ketone bodies	U::acetoacetate
U::acetylcarnitine	U::Lipid	U::Carnitine metabolism	U::acetylcarnitine
U::adenine	U::Nucleotide	U::Purine metabolism, adenine containing	U::adenine
U::adenosine	U::Nucleotide	U::Purine metabolism, adenine containing	U::adenosine
U::adenosine 3',5'-cyclic monophosphate (cAMP)	U::Nucleotide	U::Purine metabolism, adenine containing	U::adenosine 3',5'-cyclic monophosphate (cAMP)
U::adipate	U::Lipid	U::Fatty acid, dicarboxylate	U::adipate
U::alanine	U::Amino acid	U::Alanine and aspartate metabolism	U::alanine
U::alanylalanine	U::Peptide	U::Dipeptide	U::alanylalanine
U::allantoin	U::Nucleotide	U::Purine metabolism, urate metabolism	U::allantoin
U::allo-threonine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::allo-threonine
U::alpha-CEHC glucuronide*	U::Cofactors and vitamins	U::Tocopherol metabolism	U::alpha-CEHC glucuronide*
U::alpha-glutamylvaline	U::Peptide	U::Dipeptide	U::alpha-glutamylvaline
U::alpha-hydroxyisovalerate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::alpha-hydroxyisovalerate
U::alpha-ketoglutarate	U::Energy	U::Krebs cycle	U::alpha-ketoglutarate
U::andro steroid monosulfate 2*	U::Lipid	U::Sterol/Steroid	U::andro steroid monosulfate 2*
U::androsterone sulfate	U::Lipid	U::Sterol/Steroid	U::androsterone sulfate
U::anserine	U::Peptide	U::Dipeptide derivative	U::anserine
U::arabinose	U::Carbohydrate	U::Nucleotide sugars, pentose metabolism	U::arabinose
U::arabitol	U::Carbohydrate	U::Nucleotide sugars, pentose metabolism	U::arabitol
U::arabonate	U::Cofactors and vitamins	U::Ascorbate and aldarate metabolism	U::arabonate
U::ascorbate (Vitamin C)	U::Cofactors and vitamins	U::Ascorbate and aldarate metabolism	U::ascorbate (Vitamin C)
U::asparagine	U::Amino acid	U::Alanine and aspartate metabolism	U::asparagine
U::aspartate	U::Amino acid	U::Alanine and aspartate metabolism	U::aspartate
U::azelate (nonanedioate)	U::Lipid	U::Fatty acid, dicarboxylate	U::azelate (nonanedioate)
U::benzene-1,2,3-triol	U::Xenobiotics	U::Chemical	U::benzene-1,2,3-triol
U::benzoate	U::Xenobiotics	U::Benzoate metabolism	U::benzoate
U::beta-alanine	U::Amino acid	U::Alanine and aspartate metabolism	U::beta-alanine
U::beta-hydroxyisovalerate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::beta-hydroxyisovalerate
U::beta-hydroxypyruvate	U::Amino acid	U::Glycine, serine and threonine metabolism	U::beta-hydroxypyruvate
U::bisphenol A monosulfate	U::Xenobiotics	U::Chemical	U::bisphenol A monosulfate
U::butyrylcarnitine	U::Lipid	U::Fatty acid metabolism (also BCAA metabolism)	U::butyrylcarnitine
U::C-glycosyltryptophan*	U::Amino acid	U::Tryptophan metabolism	U::C-glycosyltryptophan*
U::cadaverine	U::Amino acid	U::Lysine metabolism	U::cadaverine
U::caffeine	U::Xenobiotics	U::Xanthine metabolism	U::caffeine
U::carnitine	U::Lipid	U::Carnitine metabolism	U::carnitine
U::carnosine	U::Peptide	U::Dipeptide derivative	U::carnosine
U::catechol sulfate	U::Xenobiotics	U::Benzoate metabolism	U::catechol sulfate
U::chiro-inositol	U::Lipid	U::Inositol metabolism	U::chiro-inositol
U::ciliatine (2-aminoethylphosphonate)	U::Amino acid	U::Aminophosphonate metabolism	U::ciliatine (2-aminoethylphosphonate)
U::cinnamoylglycine	U::Xenobiotics	U::Food component/Plant	U::cinnamoylglycine
U::cis-aconitate	U::Energy	U::Krebs cycle	U::cis-aconitate
U::citramalate	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::citramalate
U::citrate	U::Energy	U::Krebs cycle	U::citrate
U::coproporphyrin III	U::Cofactors and vitamins	U::Hemoglobin and porphyrin metabolism	U::coproporphyrin III
U::cortisone	U::Lipid	U::Sterol/Steroid	U::cortisone
U::creatine	U::Amino acid	U::Creatine metabolism	U::creatine
U::creatinine	U::Amino acid	U::Creatine metabolism	U::creatinine
U::cystathionine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::cystathionine
U::cysteine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::cysteine
U::cystine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::cystine
U::cytidine	U::Nucleotide	U::Pyrimidine metabolism, cytidine containing	U::cytidine
U::decanoylcarnitine	U::Lipid	U::Carnitine metabolism	U::decanoylcarnitine
U::dehydroisoandrosterone sulfate (DHEA-S)	U::Lipid	U::Sterol/Steroid	U::dehydroisoandrosterone sulfate (DHEA-S)
U::diglycerol	U::Xenobiotics	U::Chemical	U::diglycerol
U::dihydrobiopterin	U::Cofactors and vitamins	U::Folate metabolism	U::dihydrobiopterin
U::dimethylarginine (SDMA + ADMA)	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::dimethylarginine (SDMA + ADMA)
U::dimethylglycine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::dimethylglycine
U::erythritol	U::Xenobiotics	U::Sugar, sugar substitute, starch	U::erythritol
U::erythronate*	U::Carbohydrate	U::Aminosugars metabolism	U::erythronate*
U::ethanolamine	U::Lipid	U::Glycerolipid metabolism	U::ethanolamine
U::ethylmalonate	U::Lipid	U::Carnitine metabolism	U::ethylmalonate
U::fructose	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::fructose
U::fucitol	U::Xenobiotics	U::Food component/Plant	U::fucitol
U::fucose	U::Carbohydrate	U::Aminosugars metabolism	U::fucose
U::fumarate	U::Energy	U::Krebs cycle	U::fumarate
U::galactitol (dulcitol)	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::galactitol (dulcitol)
U::gamma-CEHC glucuronide*	U::Cofactors and vitamins	U::Tocopherol metabolism	U::gamma-CEHC glucuronide*
U::gamma-glutamylisoleucine*	U::Peptide	U::gamma-glutamyl	U::gamma-glutamylisoleucine*
U::gamma-glutamylleucine	U::Peptide	U::gamma-glutamyl	U::gamma-glutamylleucine
U::gamma-glutamylphenylalanine	U::Peptide	U::gamma-glutamyl	U::gamma-glutamylphenylalanine
U::gamma-glutamyltyrosine	U::Peptide	U::gamma-glutamyl	U::gamma-glutamyltyrosine
U::gamma-glutamylvaline	U::Peptide	U::gamma-glutamyl	U::gamma-glutamylvaline
U::gentisate	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::gentisate
U::gluconate	U::Carbohydrate	U::Nucleotide sugars, pentose metabolism	U::gluconate
U::glucosamine	U::Carbohydrate	U::Aminosugars metabolism	U::glucosamine
U::glucuronate	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::glucuronate
U::glutamate	U::Amino acid	U::Glutamate metabolism	U::glutamate
U::glutamine	U::Amino acid	U::Glutamate metabolism	U::glutamine
U::glutarate (pentanedioate)	U::Amino acid	U::Lysine metabolism	U::glutarate (pentanedioate)
U::glutarylcarnitine (C5)	U::Amino acid	U::Lysine metabolism	U::glutarylcarnitine (C5)
U::glycerol 3-phosphate (G3P)	U::Lipid	U::Glycerolipid metabolism	U::glycerol 3-phosphate (G3P)
U::glycerophosphorylcholine (GPC)	U::Lipid	U::Glycerolipid metabolism	U::glycerophosphorylcholine (GPC)
U::glycine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::glycine
U::glycocholate	U::Lipid	U::Bile acid metabolism	U::glycocholate
U::glycocholenate sulfate*	U::Lipid	U::Bile acid metabolism	U::glycocholenate sulfate*
U::glycolate (hydroxyacetate)	U::Xenobiotics	U::Chemical	U::glycolate (hydroxyacetate)
U::glycolithocholate sulfate*	U::Lipid	U::Bile acid metabolism	U::glycolithocholate sulfate*
U::glycylglycine	U::Peptide	U::Dipeptide	U::glycylglycine
U::glycylproline	U::Peptide	U::Dipeptide	U::glycylproline
U::guanidine	U::Nucleotide	U::Purine metabolism, guanine containing	U::guanidine
U::guanidinoacetate	U::Amino acid	U::Guanidino and acetamido metabolism	U::guanidinoacetate
U::guanine	U::Nucleotide	U::Purine metabolism, guanine containing	U::guanine
U::gulono-1,4-lactone	U::Cofactors and vitamins	U::Ascorbate and aldarate metabolism	U::gulono-1,4-lactone
U::hexanoylcarnitine	U::Lipid	U::Carnitine metabolism	U::hexanoylcarnitine
U::hexanoylglycine	U::Lipid	U::Fatty acid metabolism	U::hexanoylglycine
U::hippurate	U::Xenobiotics	U::Benzoate metabolism	U::hippurate
U::histidine	U::Amino acid	U::Histidine metabolism	U::histidine
U::homocitrate	U::Energy	U::Krebs cycle	U::homocitrate
U::homocitrulline	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::homocitrulline
U::homocysteine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::homocysteine
U::homoserine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::homoserine
U::homostachydrine*	U::Xenobiotics	U::Food component/Plant	U::homostachydrine*
U::homovanillate (HVA)	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::homovanillate (HVA)
U::hydantoin-5-propionic acid	U::Amino acid	U::Histidine metabolism	U::hydantoin-5-propionic acid
U::hydroquinone sulfate	U::Xenobiotics	U::Drug	U::hydroquinone sulfate
U::hydroxyisovaleroyl carnitine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::hydroxyisovaleroyl carnitine
U::hypoxanthine	U::Nucleotide	U::Purine metabolism, (hypo)xanthine/inosine containing	U::hypoxanthine
U::imidazole lactate	U::Amino acid	U::Histidine metabolism	U::imidazole lactate
U::imidazole propionate	U::Amino acid	U::Histidine metabolism	U::imidazole propionate
U::indoleacetate	U::Amino acid	U::Tryptophan metabolism	U::indoleacetate
U::indoleacetylglutamine	U::Amino acid	U::Tryptophan metabolism	U::indoleacetylglutamine
U::indolelactate	U::Amino acid	U::Tryptophan metabolism	U::indolelactate
U::inosine	U::Nucleotide	U::Purine metabolism, (hypo)xanthine/inosine containing	U::inosine
U::isobutyrylcarnitine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::isobutyrylcarnitine
U::isobutyrylglycine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::isobutyrylglycine
U::isocitrate	U::Energy	U::Krebs cycle	U::isocitrate
U::isoleucine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::isoleucine
U::isosorbide	U::Xenobiotics	U::Drug	U::isosorbide
U::isovalerylcarnitine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::isovalerylcarnitine
U::isovalerylglycine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::isovalerylglycine
U::itaconate (methylenesuccinate)	U::Energy	U::Krebs cycle	U::itaconate (methylenesuccinate)
U::kynurenate	U::Amino acid	U::Tryptophan metabolism	U::kynurenate
U::kynurenine	U::Amino acid	U::Tryptophan metabolism	U::kynurenine
U::L-urobilin	U::Cofactors and vitamins	U::Hemoglobin and porphyrin metabolism	U::L-urobilin
U::lactate	U::Carbohydrate	U::Glycolysis, gluconeogenesis, pyruvate metabolism	U::lactate
U::lactose	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::lactose
U::leucine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::leucine
U::lysine	U::Amino acid	U::Lysine metabolism	U::lysine
U::malate	U::Energy	U::Krebs cycle	U::malate
U::mandelate	U::Xenobiotics	U::Benzoate metabolism	U::mandelate
U::mannitol	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::mannitol
U::mannose	U::Carbohydrate	U::Fructose, mannose, galactose, starch, and sucrose metabolism	U::mannose
U::mesaconate (methylfumarate)	U::Energy	U::Krebs cycle	U::mesaconate (methylfumarate)
U::methionine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::methionine
U::myo-inositol	U::Lipid	U::Inositol metabolism	U::myo-inositol
U::N-(2-furoyl)glycine	U::Xenobiotics	U::Food component/Plant	U::N-(2-furoyl)glycine
U::N-6-trimethyllysine	U::Amino acid	U::Lysine metabolism	U::N-6-trimethyllysine
U::N-acetyl-aspartyl-glutamate (NAAG)	U::Amino acid	U::Glutamate metabolism	U::N-acetyl-aspartyl-glutamate (NAAG)
U::N-acetyl-beta-alanine	U::Amino acid	U::Alanine and aspartate metabolism	U::N-acetyl-beta-alanine
U::N-acetylarginine	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::N-acetylarginine
U::N-acetylasparagine	U::Amino acid	U::Alanine and aspartate metabolism	U::N-acetylasparagine
U::N-acetylaspartate (NAA)	U::Amino acid	U::Alanine and aspartate metabolism	U::N-acetylaspartate (NAA)
U::N-acetylcysteine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::N-acetylcysteine
U::N-acetylglutamine	U::Amino acid	U::Glutamate metabolism	U::N-acetylglutamine
U::N-acetylhistidine	U::Amino acid	U::Histidine metabolism	U::N-acetylhistidine
U::N-acetylisoleucine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::N-acetylisoleucine
U::N-acetylleucine	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::N-acetylleucine
U::N-acetylneuraminate	U::Carbohydrate	U::Aminosugars metabolism	U::N-acetylneuraminate
U::N-acetylphenylalanine	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::N-acetylphenylalanine
U::N-acetylproline	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::N-acetylproline
U::N-acetylputrescine	U::Amino acid	U::Polyamine metabolism	U::N-acetylputrescine
U::N-acetylserine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::N-acetylserine
U::N-acetylthreonine	U::Amino acid	U::Glycine, serine and threonine metabolism	U::N-acetylthreonine
U::N-acetyltryptophan	U::Amino acid	U::Tryptophan metabolism	U::N-acetyltryptophan
U::N-acetyltyrosine	U::Amino acid	U::Phenylalanine & tyrosine metabolism	U::N-acetyltyrosine
U::N-acetylvaline	U::Amino acid	U::Valine, leucine and isoleucine metabolism	U::N-acetylvaline
U::N-formylmethionine	U::Amino acid	U::Cysteine, methionine, SAM, taurine metabolism	U::N-formylmethionine
U::N-methyl proline	U::Amino acid	U::Urea cycle; arginine-, proline-, metabolism	U::N-methyl proline
U::N-methylglutamate	U::Amino acid	U::Glutamate metabolism	U::N-methylglutamate
U::N1-Methyl-2-pyridone-5-carboxamide	U::Cofactors and vitamins	U::Nicotinate and nicotinamide metabolism	U::N1-Methyl-2-pyridone-5-carboxamide
U::N1-methyladenosine	U::Nucleotide	U::Purine metabolism, adenine containing	U::N1-methyladenosine
U::N1-methylguanosine	U::Nucleotide	U::Purine metabolism, guanine containing	U::N1-methylguanosine
